Hidden Gem Score,IMDb Votes,Rotten Tomatoes Score,Metacritic Score,IMDb Score,Genre
8,2622.0,0.0,0.0,50.0,901.0
7,5588.0,0.0,0.0,41.0,1119.0
6,2882.0,61.0,0.0,44.0,926.0
6,3981.0,76.0,0.0,47.0,865.0
7,3819.0,0.0,0.0,62.0,666.0
8,2750.0,0.0,0.0,50.0,564.0
8,224.0,97.0,71.0,42.0,1119.0
7,2140.0,63.0,0.0,38.0,182.0
4,5519.0,93.0,76.0,44.0,1004.0
5,3611.0,59.0,0.0,28.0,83.0
3,3278.0,81.0,57.0,49.0,1220.0
8,1872.0,0.0,0.0,41.0,969.0
2,5544.0,44.0,44.0,35.0,913.0
7,1443.0,65.0,0.0,48.0,836.0
4,4529.0,0.0,0.0,64.0,443.0
8,4579.0,0.0,0.0,51.0,1072.0
6,4319.0,88.0,0.0,54.0,836.0
2,5700.0,42.0,40.0,36.0,137.0
3,8.0,73.0,52.0,51.0,1119.0
2,3153.0,0.0,39.0,36.0,201.0
7,1250.0,0.0,0.0,42.0,1119.0
7,2709.0,83.0,0.0,48.0,252.0
3,641.0,73.0,68.0,44.0,1227.0
1,5475.0,47.0,10.0,31.0,958.0
3,234.0,77.0,58.0,45.0,825.0
8,3007.0,0.0,0.0,41.0,1019.0
1,1791.0,10.0,14.0,36.0,260.0
8,1618.0,0.0,0.0,54.0,421.0
7,1727.0,68.0,0.0,37.0,1227.0
8,576.0,0.0,0.0,52.0,1215.0
6,3436.0,72.0,0.0,47.0,559.0
3,3302.0,87.0,63.0,50.0,1004.0
8,5270.0,0.0,0.0,46.0,836.0
8,2043.0,0.0,0.0,49.0,829.0
3,682.0,88.0,61.0,49.0,1166.0
8,2804.0,63.0,0.0,38.0,1119.0
9,4857.0,0.0,0.0,55.0,729.0
3,4805.0,0.0,0.0,48.0,865.0
7,2685.0,0.0,0.0,54.0,1214.0
5,4427.0,0.0,61.0,36.0,22.0
4,539.0,0.0,0.0,55.0,421.0
3,712.0,54.0,54.0,40.0,1119.0
3,2892.0,75.0,60.0,49.0,1210.0
3,153.0,81.0,67.0,50.0,1214.0
7,2264.0,77.0,0.0,42.0,958.0
6,3541.0,0.0,0.0,52.0,895.0
4,773.0,0.0,0.0,59.0,1004.0
9,1550.0,0.0,0.0,58.0,1119.0
4,2788.0,84.0,69.0,55.0,1119.0
3,2883.0,63.0,45.0,37.0,54.0
8,357.0,0.0,0.0,53.0,958.0
4,2909.0,94.0,68.0,53.0,464.0
4,4383.0,28.0,31.0,42.0,1214.0
8,290.0,0.0,0.0,43.0,836.0
5,3838.0,43.0,0.0,48.0,839.0
7,4980.0,55.0,0.0,37.0,836.0
8,910.0,0.0,0.0,54.0,1232.0
4,2407.0,85.0,75.0,48.0,696.0
4,1089.0,0.0,0.0,55.0,839.0
4,1739.0,0.0,0.0,59.0,1004.0
7,1919.0,0.0,0.0,50.0,426.0
4,1575.0,0.0,0.0,56.0,836.0
8,1900.0,0.0,0.0,45.0,1106.0
6,3922.0,73.0,0.0,44.0,347.0
3,1642.0,56.0,49.0,38.0,589.0
2,2019.0,48.0,44.0,37.0,1119.0
4,5323.0,95.0,71.0,49.0,1259.0
1,1137.0,11.0,29.0,25.0,186.0
6,3716.0,0.0,0.0,46.0,912.0
3,5406.0,81.0,59.0,33.0,254.0
8,2578.0,0.0,0.0,53.0,1019.0
1,2537.0,8.0,21.0,35.0,958.0
8,5085.0,83.0,0.0,41.0,958.0
8,4353.0,0.0,0.0,51.0,836.0
6,3508.0,0.0,0.0,51.0,641.0
2,2469.0,35.0,32.0,38.0,958.0
8,5000.0,77.0,0.0,55.0,716.0
3,4750.0,83.0,65.0,50.0,1214.0
8,3414.0,0.0,0.0,50.0,958.0
3,5147.0,67.0,59.0,45.0,1264.0
8,5746.0,0.0,0.0,46.0,494.0
2,5602.0,50.0,53.0,36.0,117.0
8,441.0,0.0,0.0,55.0,530.0
4,4468.0,98.0,90.0,54.0,1119.0
8,2417.0,0.0,0.0,44.0,836.0
4,346.0,89.0,71.0,46.0,1145.0
3,3152.0,87.0,62.0,37.0,1263.0
2,2301.0,24.0,43.0,43.0,332.0
3,4264.0,61.0,52.0,47.0,1214.0
3,789.0,0.0,0.0,44.0,116.0
8,4446.0,76.0,0.0,46.0,836.0
4,5589.0,98.0,71.0,44.0,590.0
4,154.0,0.0,0.0,57.0,450.0
7,5476.0,0.0,0.0,41.0,217.0
3,1700.0,68.0,53.0,43.0,152.0
3,1127.0,0.0,0.0,42.0,20.0
7,3058.0,0.0,0.0,59.0,474.0
9,3221.0,0.0,0.0,57.0,1119.0
8,3971.0,0.0,0.0,52.0,1116.0
8,4792.0,0.0,0.0,45.0,1286.0
2,5295.0,52.0,43.0,41.0,801.0
6,4032.0,84.0,0.0,47.0,1004.0
7,914.0,0.0,0.0,43.0,652.0
2,262.0,37.0,23.0,36.0,1267.0
4,949.0,100.0,87.0,54.0,1214.0
3,3018.0,71.0,48.0,46.0,1261.0
8,1800.0,4.0,0.0,43.0,292.0
4,1524.0,92.0,68.0,49.0,1099.0
3,5516.0,93.0,64.0,46.0,1190.0
8,4305.0,0.0,0.0,45.0,1280.0
3,71.0,64.0,46.0,45.0,292.0
1,2298.0,12.0,0.0,32.0,838.0
3,5527.0,0.0,38.0,45.0,908.0
2,1948.0,27.0,31.0,42.0,203.0
8,3440.0,76.0,0.0,38.0,836.0
5,4532.0,72.0,58.0,37.0,1227.0
8,1750.0,0.0,0.0,43.0,932.0
8,4353.0,0.0,0.0,49.0,1019.0
8,889.0,0.0,0.0,46.0,1019.0
8,3747.0,0.0,0.0,44.0,1097.0
3,4213.0,73.0,54.0,47.0,288.0
8,1839.0,98.0,73.0,40.0,1119.0
3,5582.0,85.0,58.0,59.0,1177.0
5,3830.0,60.0,0.0,28.0,1263.0
4,4654.0,99.0,73.0,49.0,217.0
3,367.0,68.0,52.0,38.0,865.0
8,2188.0,66.0,0.0,42.0,1214.0
3,351.0,0.0,45.0,42.0,1159.0
7,2738.0,71.0,0.0,43.0,958.0
6,4211.0,0.0,0.0,53.0,865.0
8,5500.0,94.0,60.0,51.0,1040.0
7,5785.0,0.0,59.0,41.0,1119.0
4,5373.0,84.0,59.0,36.0,900.0
2,5541.0,27.0,38.0,34.0,988.0
9,2218.0,0.0,0.0,58.0,1159.0
8,4894.0,0.0,0.0,45.0,411.0
7,2547.0,0.0,0.0,50.0,434.0
3,3186.0,78.0,0.0,47.0,217.0
8,3582.0,0.0,0.0,56.0,471.0
1,3851.0,47.0,13.0,29.0,912.0
3,483.0,0.0,0.0,52.0,197.0
8,5517.0,85.0,0.0,49.0,1119.0
3,4524.0,76.0,56.0,48.0,814.0
1,1926.0,8.0,19.0,39.0,958.0
4,1892.0,90.0,0.0,49.0,137.0
6,3901.0,72.0,63.0,29.0,999.0
7,2290.0,0.0,0.0,48.0,1019.0
3,1770.0,60.0,0.0,43.0,1214.0
2,5824.0,22.0,25.0,36.0,312.0
3,478.0,55.0,67.0,43.0,901.0
7,3042.0,0.0,0.0,55.0,889.0
8,2497.0,0.0,0.0,48.0,969.0
8,4919.0,0.0,0.0,45.0,1119.0
